path,run_type,freq_hz,amp_V,wind,f_hz,A_in_active,A_out_active,A_in_late,A_out_late,A_in_hg6,A_out_hg6,A_in_hg10,A_out_hg10,OUT_IN_active,OUT_IN_late,OUT_IN_hg6,OUT_IN_hg10
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1300-per240-depth580-mstop30-run1.csv,per240,1.3,0.3,full,1.3,22.92540948577178,18.97198650448888,23.12696969474012,18.818362077015948,23.652404984215746,18.959861147325196,23.638699759475635,18.87195290579139,0.827552786625839,0.8136977012295693,0.8016039451369921,0.7983498710933336
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per240-depth580-mstop30-run1.csv,per240,1.5,0.3,full,1.5,23.48298655489298,11.392457871246096,22.93651166279025,17.043370713844375,23.558016769679735,17.255767136044692,23.74942396834706,17.366396255168006,0.48513666882257495,0.7430672529639162,0.7324796184988572,0.7312344197616635
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run2.csv,per40,1.3,0.1,full,1.3,7.257542903317983,6.311977822188775,7.556187545550047,6.46783957376488,7.821746203795417,6.486661665901966,6.974445688732455,6.412820505773724,0.8697127810712745,0.8559659927411262,0.8293111917584828,0.9194738610028804
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1400-per240-depth580-mstop30-run1.csv,per240,1.4,0.3,full,1.4,23.54496544571563,15.855483272030966,24.430007633701685,17.589443965181264,23.138062745910382,18.442494012416226,23.0696295611658,18.297564485923928,0.6734128919656629,0.7199933880051791,0.7970630132237804,0.7931451364405557
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,per40,1.5,0.1,full,1.5,8.058954701587561,1.9776860247267891,8.489008974055679,4.962966341621682,8.424219213586964,5.040536945910986,8.367208484658422,5.039775555049065,0.24540230066527088,0.5846343615361491,0.5983387680345947,0.6023246061442924
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,per240,1.3,0.2,no,1.3,15.109739211922728,11.526101764853081,14.992945472824188,12.027451472058056,14.797227576445444,11.697569304508459,14.788226199029648,11.59561929553326,0.7628259894623538,0.8022073777203214,0.790524390064049,0.7841115722380635
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,per240,1.4,0.1,no,1.4,8.031959556707312,3.242097340752951,7.820350522639758,3.9708966795576175,7.783854259191939,4.25131690633193,7.777328666822299,4.204399478160716,0.40364960976995296,0.5077645392060051,0.5461711852211978,0.5405968627886947
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,per240,1.5,0.2,full,1.5,15.418093199941403,6.17226997426803,15.267982347265463,11.08516691538928,15.285049050579042,10.891847365751227,15.424167979013514,10.88068802265259,0.4003264148313416,0.726040066281231,0.7125817738438079,0.7054311154713246
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,per40,1.5,0.1,no,1.5,7.447682788837871,1.2201695884071984,7.459790552728413,3.3338878054954866,7.415660966178671,3.7606203375405705,7.321739171305887,3.759102754963026,0.16383211033583675,0.4469143981899223,0.5071186984804185,0.5134166441895474
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per40-depth580-mstop30-run2.csv,per40,1.5,0.3,full,1.5,23.83501258788395,10.129805999790513,23.378582028272216,17.23514720356186,23.715028454522546,17.99152668202216,24.375773474366813,17.74843862569125,0.4249968806368408,0.737219527801944,0.7586550746301597,0.7281179669787805
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,per240,1.3,0.2,full,1.3,15.110945732628043,12.421996333610535,14.791175294629767,12.536055798435903,14.966580958965487,12.314356433602462,14.863581287036572,12.33662141086146,0.8220528717000524,0.8475361523831964,0.8227902195808955,0.8299898370805812
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,per40,1.4,0.2,no,1.4,15.200718339610122,8.760944932914306,15.319778341248014,10.645243756877854,15.290815449764233,10.571548023908537,15.44530668982994,10.498740431624855,0.576350718247636,0.694869306836893,0.691365876374601,0.6797366114159337
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1500-per40-depth580-mstop30-run1.csv,per40,1.5,0.3,no,1.5,21.661313323697687,5.954464054328979,21.04396345441578,13.133712689685597,20.749825981512302,13.306465987251341,20.996466554783137,13.2031850169271,0.2748893368258857,0.6241083205706514,0.6412808473240763,0.6288289023525877
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,per40,1.4,0.2,full,1.4,16.45057196603154,11.517295093935854,16.63283214887886,11.77962545748541,17.18383118296158,11.541750721442012,16.916741555018397,11.503213995362886,0.700115176403452,0.7082152547471849,0.6716634142033527,0.6799899352928535
