freq_hz,amp_v,amp_tag,wind,probe_tag,n_runs,A_mean_mm,A_std_mm,A_FFT_meta_mean_mm,sigma_pre_mean_mm,sigma_pre_std_mm,phi_mean_rad,phi_std_rad
1.5,0.1,A1,no,IN_wall,2,7.812196680136857,0.13636832327643036,7.8104413037800295,0.10106319030668971,0.09814005471610664,3.1411332914753816,0.017889848925384838
1.5,0.1,A1,no,IN_far,2,7.496430937871969,0.13494171780824693,7.496493647287236,0.07569310106662096,0.050995432059917814,3.132792627168371,0.03103936743912631
1.5,0.1,A1,no,OUT,2,3.473834179220057,0.058943691026597314,3.463490571404358,0.02451130201632231,0.00308793783981851,3.0850719229204655,0.0362143782937995
1.5,0.1,A1,no,IN_mean,2,7.654313809004412,0.13565502054233866,,0.08837814568665533,0.07456774338801223,,
1.5,0.2,A2,full,IN_wall,3,15.993715730388246,1.6581731654890222,15.990049951948402,3.723996902022195,0.9958949005152238,-3.107792940431522,0.17811244394343725
1.5,0.2,A2,full,IN_far,3,15.058975831926555,1.0440666162945593,14.998529285837641,4.125147846350278,0.8387080948461513,-2.9969201646738983,0.22663470490877588
1.5,0.2,A2,full,OUT,3,11.3479451804585,0.38562045628212405,11.335421561076027,0.3138090766715181,0.05400790537362969,2.949494667309827,0.030906214234517917
1.5,0.2,A2,full,IN_mean,3,15.526345781157401,0.6103120831149518,,3.924572374186237,0.3823370752157707,,
1.5,0.2,A2,no,IN_wall,2,15.153583685908242,0.028995021225105742,15.156866544712006,0.02655839296562655,0.008940853548200654,-3.0824058077195993,0.01543711999088199
1.5,0.2,A2,no,IN_far,2,15.02080581355572,0.029615123829924737,15.0155283780823,0.034662093503769524,0.008968011615745685,3.138121937785558,0.06187492058733162
1.5,0.2,A2,no,OUT,2,8.963049232980465,0.2939838694500941,8.966253870666225,0.1091278774685444,0.12247821959863865,-3.0396892182019997,0.029481195082336594
1.5,0.2,A2,no,IN_mean,2,15.087194749731982,0.0003100513024088688,,0.03061024323469804,1.357903377251569e-05,,
1.5,0.3,A3,full,IN_wall,4,23.673435235783472,0.7667732550502439,23.72381914451016,3.8682301405367383,0.7970592023346884,2.960972770015023,0.06999727655419555
1.5,0.3,A3,full,IN_far,4,23.081669586280857,0.7574275966704179,23.15695395080768,3.972253762443408,0.516178660202465,2.97980894319925,0.062299187325300306
1.5,0.3,A3,full,OUT,4,17.055224222676966,0.3374657294906736,17.090244397909053,0.3240607471043237,0.023311043105618285,2.7786751472906066,0.06315553712571839
1.5,0.3,A3,full,IN_mean,4,23.377552411032166,0.7611437961014741,,3.9202419514900733,0.5803572369718852,,
1.5,0.3,A3,no,IN_wall,2,21.641723385327673,0.09671455376369416,21.623386920291367,0.03381757154764366,0.004314614047194393,3.028764123927564,0.004802474318845358
1.5,0.3,A3,no,IN_far,2,21.180928232819902,0.3658560715521322,21.180837493838887,0.05554695267788714,0.0286502581915601,2.981837589660576,0.0001435599024440008
1.5,0.3,A3,no,OUT,2,13.090687303627345,0.02638025378908843,13.091944185416786,0.0326748937804075,0.008779675118350011,-3.0287322781268964,0.027617858188585493
1.5,0.3,A3,no,IN_mean,2,21.411325809073787,0.134570758894219,,0.044682262112765395,0.016482436119377244,,
1.6,0.1,A1,full,IN_wall,3,8.524583748978928,0.9066788042753875,8.440957840874859,3.7896519102288444,0.2678668920294075,-2.8708734575134685,0.1926195237676286
1.6,0.1,A1,full,IN_far,3,8.048435920003728,0.34383545276342264,8.043656170066283,4.298355363891527,1.2374886279560908,2.9956892656316887,0.2462514757368878
1.6,0.1,A1,full,OUT,3,5.040667318621224,0.14662084967641748,5.048083203228209,0.34233821697919953,0.07109460961592194,-3.0709940370633606,0.06693748552800734
1.6,0.1,A1,full,IN_mean,3,8.28650983449133,0.3781244072751424,,4.044003637060186,0.7444978654968177,,
1.6,0.1,A1,no,IN_wall,2,7.004095519118031,0.06944124750662467,7.017033752800701,0.0271767025109434,0.004590882287499508,-3.009393088121183,0.05428577101522029
1.6,0.1,A1,no,IN_far,2,7.2344312132196364,0.007181337160357748,7.247503421629059,0.035650252278444206,0.00458537414290062,-2.9618722769431205,0.03461948299105943
1.6,0.1,A1,no,OUT,2,2.6112324067960007,0.022877621324790782,2.616367519824998,0.024274719949229605,0.002257090238986662,-3.0665443223318416,0.049372823254725064
1.6,0.1,A1,no,IN_mean,2,7.119263366168834,0.0383112923334909,,0.0314134773946938,2.754072299444085e-06,,
1.6,0.2,A2,full,IN_wall,3,16.55867505874737,0.8094297908419413,16.603113151387575,3.630284653618521,0.9666507366462287,3.0659569994903824,0.1230263443370103
1.6,0.2,A2,full,IN_far,3,14.600742510114685,1.079509535162756,14.644778689062555,3.753763488418027,0.6783807135264354,2.9283256473965382,0.0914533813896684
1.6,0.2,A2,full,OUT,3,10.663769883561498,0.5210358779162254,10.691501410316397,0.30520014994025324,0.030527763924179115,2.9827497017572173,0.1471954855811064
1.6,0.2,A2,full,IN_mean,3,15.579708784431029,0.6219996444600631,,3.692024071018274,0.16834926092841423,,
1.6,0.2,A2,no,IN_wall,2,14.667767589292351,0.14741004510896483,14.647635585488956,0.028132116673247443,0.001187261343903929,2.9536979681561886,0.007161084406802652
1.6,0.2,A2,no,IN_far,2,14.770566031608787,0.04675789529930759,14.736623678904973,0.03520962595001059,0.006348098006459212,3.0098521479527234,0.023688765665964884
1.6,0.2,A2,no,OUT,2,7.133039595804517,0.058373312623336636,7.13903657427382,0.06570750935190711,0.059449455058873904,-3.012610821285998,0.03937326154695983
1.6,0.2,A2,no,IN_mean,2,14.71916681045057,0.09708397020413621,,0.03167087131162902,0.003767679675181569,,
