path,name,probe,freq_hz,amp_V,wind,mooring,N_periods,n_samples,A_LS_mm,A_stokes2_mm,residual_rms_mm
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,9373/340,1.30000,0.20000,full,below_90_loose230,5,960,14.60240,0.14816,2.60772
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,9373/340,1.30000,0.20000,full,below_90_loose230,8,1536,14.64198,0.42343,2.51361
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,9373/340,1.30000,0.20000,full,below_90_loose230,10,1920,14.66929,0.62268,2.59981
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,9373/340,1.30000,0.20000,full,below_90_loose230,12,2304,14.61067,0.68656,2.48253
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,9373/340,1.30000,0.20000,full,below_90_loose230,15,2880,14.63297,0.72509,2.63835
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,9373/340,1.30000,0.20000,full,below_90_loose230,20,3840,14.87648,0.90929,2.83553
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,12400/250,1.30000,0.20000,full,below_90_loose230,5,960,12.74994,0.76911,0.59174
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,12400/250,1.30000,0.20000,full,below_90_loose230,8,1536,12.83659,0.78140,0.63930
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,12400/250,1.30000,0.20000,full,below_90_loose230,10,1920,12.81353,0.77699,0.62860
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,12400/250,1.30000,0.20000,full,below_90_loose230,12,2304,12.82396,0.75777,0.62336
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,12400/250,1.30000,0.20000,full,below_90_loose230,15,2880,12.84695,0.78576,0.65329
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,12400/250,1.30000,0.20000,full,below_90_loose230,20,3840,12.81000,0.75050,0.75228
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,9373/170,1.40000,0.10000,full,below_90_loose230,5,895,7.38125,0.61712,2.47211
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,9373/170,1.40000,0.10000,full,below_90_loose230,8,1432,7.33522,0.50527,2.78577
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,9373/170,1.40000,0.10000,full,below_90_loose230,10,1790,7.38402,0.70044,3.06619
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,9373/170,1.40000,0.10000,full,below_90_loose230,12,2148,7.30992,0.42972,2.93088
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,9373/170,1.40000,0.10000,full,below_90_loose230,15,2685,7.40859,0.52396,3.10144
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,9373/170,1.40000,0.10000,full,below_90_loose230,20,3580,7.46577,0.49667,3.28483
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,9373/340,1.40000,0.10000,full,below_90_loose230,5,895,6.66909,0.38163,3.47662
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,9373/340,1.40000,0.10000,full,below_90_loose230,8,1432,6.61129,0.33790,2.96020
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,9373/340,1.40000,0.10000,full,below_90_loose230,10,1790,6.69044,0.27878,2.85680
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,9373/340,1.40000,0.10000,full,below_90_loose230,12,2148,6.72095,0.13597,2.71990
