category,freq,amp,Kt_source,n_full,n_no,Kt_mean_full,Kt_mean_no,Kt_std_full,Kt_std_no,dKt_mean,dKt_ci_lo,dKt_ci_hi,welch_p,verdict
canon_loose300,1.3,0.1,eff,6,7,0.7570736896382271,0.6646625023275915,0.02444237655399383,0.028214813214122007,0.09248419390763135,0.0655625270291956,0.1180995124095599,5.6332978805612756e-05,enhance
canon_loose300,1.3,0.2,FFT,2,2,0.8457017084259536,0.8105551405550326,0.00889123458516592,0.007927247527011596,0.035173360714418865,0.023254105120135593,0.047039030621706335,0.05411028571314367,enhance
canon_loose300,1.3,0.2,eff,2,2,0.8457017084259536,0.8105551405550326,0.00889123458516592,0.007927247527011596,0.03509142310195665,0.023254105120135593,0.047039030621706335,0.05411028571314367,enhance
canon_loose300,1.3,0.3,FFT,3,2,0.8372648105341852,0.8296500372148343,0.01797811303693473,0.002272246419115457,0.007578071446362085,-0.005559692969677399,0.028095804607938035,0.5408298026211754,null
canon_loose300,1.3,0.3,eff,3,2,0.8372648105341852,0.8296500372148343,0.01797811303693473,0.002272246419115457,0.007579082168361132,-0.005559692969677399,0.028095804607938035,0.5408298026211754,null
canon_loose300,1.4,0.1,FFT,2,2,0.6754905507357122,0.5023336454369468,0.04902617672282458,0.034339324603346155,0.17316897183402488,0.11420859399401395,0.23210521660351685,0.06589817934742918,enhance
canon_loose300,1.4,0.1,eff,2,2,0.6754905507357122,0.5023336454369468,0.04902617672282458,0.034339324603346155,0.17339824225273165,0.11420859399401395,0.23210521660351685,0.06589817934742918,enhance
canon_loose300,1.4,0.2,FFT,2,2,0.7276858812736133,0.6869259023268259,0.01331028162575752,0.002256817242108085,0.04067032581980879,0.02975237777391826,0.05176758011965665,0.13608416625370784,enhance
canon_loose300,1.4,0.2,eff,2,2,0.7276858812736133,0.6869259023268259,0.01331028162575752,0.002256817242108085,0.04079140593953024,0.02975237777391826,0.05176758011965665,0.13608416625370784,enhance
canon_loose300,1.4,0.3,FFT,3,2,0.7691734332125764,0.6716122213891087,0.00411815050990598,0.0030261954235756765,0.09754651941913019,0.09267805787833217,0.10244436576860327,0.00011788771683865726,enhance
canon_loose300,1.4,0.3,eff,3,2,0.7691734332125764,0.6716122213891087,0.00411815050990598,0.0030261954235756765,0.09759964910878256,0.09267805787833217,0.10244436576860327,0.00011788771683865726,enhance
canon_loose300,1.5,0.1,FFT,2,2,0.6606900186222047,0.45268041226075945,0.06264090068334315,0.016190210434491453,0.20820091474157193,0.15226759312155408,0.26375161960133625,0.11571300749717273,enhance
canon_loose300,1.5,0.1,eff,2,2,0.6606900186222047,0.45268041226075945,0.06264090068334315,0.016190210434491453,0.20814789878273474,0.15226759312155408,0.26375161960133625,0.11571300749717273,enhance
canon_loose300,1.5,0.2,FFT,2,2,0.7045930379341507,0.5943385138294799,0.0026687929866253913,0.020122228845276636,0.11036861314296702,0.09413883801716227,0.12637021019217942,0.07723172222501844,enhance
canon_loose300,1.5,0.2,eff,2,2,0.7045930379341507,0.5943385138294799,0.0026687929866253913,0.020122228845276636,0.11023624574395524,0.09413883801716227,0.12637021019217942,0.07723172222501844,enhance
canon_loose300,1.5,0.3,FFT,3,2,0.7300660924483774,0.6117206005870217,0.014721277409202618,0.002613055107282167,0.11834621344084165,0.10139651046252462,0.12904260349422303,0.003753117027632234,enhance
canon_loose300,1.5,0.3,eff,3,2,0.7300660924483774,0.6117206005870217,0.014721277409202618,0.002613055107282167,0.11847466567117522,0.10139651046252462,0.12904260349422303,0.003753117027632234,enhance
canon_loose300,1.6,0.1,FFT,2,2,0.5965193258523221,0.36684544309566813,0.0005939798305963095,0.004564301078383521,0.22971305427561997,0.2260264273466493,0.2333213381666588,0.007864201655494141,enhance
