run_idx,file_date,WindCondition,is_wave,WaveFreq_Hz,WaveAmp_V,run_mtime,path,mean_9373/170,sigma_9373/170,Hs_9373/170,mean_12400/250,sigma_12400/250,Hs_12400/250
29,2026-03-26,full,True,1.1,0.1,1774538710.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1100-per40-depth580-mstop30-run1.csv,-0.43936000000000014,3.581454473431199,14.325817893724796,0.12377333333332562,0.351839001343006,1.407356005372024
30,2026-03-26,full,True,1.0,0.1,1774538830.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1000-per40-depth580-mstop30-run1.csv,0.41257333333332774,3.1870927386551853,12.748370954620741,0.11729333333333909,0.369260809387287,1.477043237549148
31,2026-03-26,full,True,0.9,0.1,1774538953.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq0900-per40-depth580-mstop30-run1.csv,0.28162666666667385,3.6331034403247715,14.532413761299086,-0.06473333333333275,0.4351880594467199,1.7407522377868796
32,2026-03-26,full,True,0.8,0.1,1774539085.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq0800-per40-depth580-mstop30-run1.csv,0.6916000000000014,3.3244525694488947,13.297810277795579,0.029639999999992596,0.3292662936330263,1.3170651745321051
33,2026-03-26,full,True,0.7,0.1,1774539310.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq0700-per40-depth580-mstop30-run1.csv,0.15842666666666655,3.876690181108445,15.50676072443378,-0.1392799999999948,0.35373122938683876,1.414924917547355
34,2026-03-26,full,True,0.6,0.1,1774539566.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq0600-per40-depth580-mstop30-run1.csv,-0.1730533333333298,3.6522759712516883,14.609103885006753,-0.012866666666660233,0.38295559647830507,1.5318223859132203
35,2026-03-26,full,True,1.3,0.1,1774539674.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run2.csv,0.05682666666666959,2.3798764840627227,9.51950593625089,0.004360000000003557,0.32750145037846734,1.3100058015138694
36,2026-03-26,full,False,,,1774539866.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-nowave-depth580-mstop30-run3.csv,0.6113066666666715,4.082527149923443,16.330108599693773,-0.011453333333336143,0.35281646848770604,1.4112658739508241
37,2026-03-26,full,True,1.3,0.1,1774540306.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop330-run1.csv,0.5060266666666606,3.71389592070582,14.85558368282328,0.05914666666667163,0.383077367531558,1.532309470126232
38,2026-03-26,full,False,,,1774540794.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-nowave-depth580-mstop330-run1.csv,0.44990666666667295,4.296691914310073,17.186767657240292,-0.008359999999995447,0.3317302674771799,1.3269210699087195
