path,folder,name,probe,freq_hz,amp_V,panel,N_samples,df_bin,A_nearest_bin,f_nearest_bin,A_parabolic,f_parabolic,A_goertzel,f_goertzel,A_ls_fit,f_ls_fit
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,9373/170,1.50000,0.10000,full,1671,0.14961,7644.00249,1.49611,7644.05092,1.49573,7642.34960,1.50000,7641.05972,1.50000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,9373/340,1.50000,0.10000,full,1671,0.14961,7276.49370,1.49611,7276.49880,1.49624,7278.92761,1.50000,7274.35363,1.50000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,12400/250,1.50000,0.10000,full,1671,0.14961,3755.14583,1.49611,3755.21064,1.49675,3760.10737,1.50000,3769.47276,1.50000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,8804/250,1.50000,0.10000,full,1671,0.14961,7797.39799,1.49611,7797.46459,1.49567,7805.36609,1.50000,7793.37569,1.50000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,9373/170,1.40000,0.20000,full,1791,0.13959,15166.79714,1.39587,15166.79776,1.39584,15177.74514,1.40000,15193.61456,1.40000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,9373/340,1.40000,0.20000,full,1791,0.13959,15201.38487,1.39587,15201.38724,1.39581,15220.23867,1.40000,15232.03458,1.40000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,12400/250,1.40000,0.20000,full,1791,0.13959,10478.37472,1.39587,10478.40790,1.39562,10495.05247,1.40000,10500.21365,1.40000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,8804/250,1.40000,0.20000,full,1791,0.13959,14911.66648,1.39587,14912.04293,1.39516,14921.49907,1.40000,14931.09679,1.40000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1500-per40-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0300-freq1500-per40-depth580-mstop30-run1.csv,9373/170,1.50000,0.30000,full,1671,0.14961,21175.37648,1.49611,21175.43484,1.49586,21172.36151,1.50000,21225.37651,1.50000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1500-per40-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0300-freq1500-per40-depth580-mstop30-run1.csv,9373/340,1.50000,0.30000,full,1671,0.14961,21014.80658,1.49611,21014.98213,1.49567,21005.00745,1.50000,21060.19865,1.50000
