scenario,f_true_hz,bin_offset,A_nearest_bin,err_nearest_bin,A_parabolic,err_parabolic,A_goertzel,err_goertzel,A_ls_fit,err_ls_fit
white_noise,1.27140,-0.22000,0.90974,-0.09026,0.91048,-0.08952,0.98703,-0.01297,0.98968,-0.01032
white_noise,1.27400,-0.20000,0.92962,-0.07038,0.93038,-0.06962,0.99761,-0.00239,1.00187,0.00187
white_noise,1.27660,-0.18000,0.93786,-0.06214,0.93833,-0.06167,0.98989,-0.01011,0.99606,-0.00394
white_noise,1.27920,-0.16000,0.94657,-0.05343,0.94683,-0.05317,0.98766,-0.01234,0.99509,-0.00491
white_noise,1.28180,-0.14000,0.97357,-0.02643,0.97398,-0.02602,0.99924,-0.00076,1.00696,0.00696
white_noise,1.28440,-0.12000,0.97384,-0.02616,0.97386,-0.02614,0.99317,-0.00683,1.00125,0.00125
white_noise,1.28700,-0.10000,0.97556,-0.02444,0.97562,-0.02438,0.98903,-0.01097,0.99673,-0.00327
white_noise,1.28960,-0.08000,0.99782,-0.00218,0.99782,-0.00218,1.00277,0.00277,1.00951,0.00951
white_noise,1.29220,-0.06000,1.00537,0.00537,1.00544,0.00544,1.00815,0.00815,1.01372,0.01372
white_noise,1.29480,-0.04000,1.00480,0.00480,1.00480,0.00480,1.00544,0.00544,1.00935,0.00935
white_noise,1.29740,-0.02000,0.98787,-0.01213,0.98790,-0.01210,0.98775,-0.01225,0.98973,-0.01027
white_noise,1.30000,0.00000,0.99834,-0.00166,0.99835,-0.00165,0.99833,-0.00167,0.99837,-0.00163
white_noise,1.30260,0.02000,1.00378,0.00378,1.00378,0.00378,1.00508,0.00508,1.00320,0.00320
white_noise,1.30520,0.04000,0.98406,-0.01594,0.98406,-0.01594,0.98784,-0.01216,0.98408,-0.01592
white_noise,1.30780,0.06000,0.98839,-0.01161,0.98840,-0.01160,0.99504,-0.00496,0.98976,-0.01024
white_noise,1.31040,0.08000,0.99356,-0.00644,0.99356,-0.00644,1.00737,0.00737,1.00117,0.00117
white_noise,1.31300,0.10000,0.98384,-0.01616,0.98384,-0.01616,1.00439,0.00439,0.99710,-0.00290
white_noise,1.31560,0.12000,0.97598,-0.02402,0.97607,-0.02393,1.00308,0.00308,0.99533,-0.00467
white_noise,1.31820,0.14000,0.98182,-0.01818,0.98190,-0.01810,1.01872,0.01872,1.01010,0.01010
white_noise,1.32080,0.16000,0.96034,-0.03966,0.96043,-0.03957,1.01044,0.01044,1.00336,0.00336
white_noise,1.32340,0.18000,0.95409,-0.04591,0.95440,-0.04560,1.00280,0.00280,0.99671,-0.00329
white_noise,1.32600,0.20000,0.92752,-0.07248,0.92821,-0.07179,0.99117,-0.00883,0.98679,-0.01321
white_noise,1.32860,0.22000,0.90542,-0.09458,0.90610,-0.09390,0.97992,-0.02008,0.97674,-0.02326
white_noise,1.33120,0.24000,0.91342,-0.08658,0.91481,-0.08519,1.00760,0.00760,1.00622,0.00622
white_noise,1.33380,0.26000,0.87367,-0.12633,0.87549,-0.12451,0.98486,-0.01514,0.98535,-0.01465
white_noise,1.33640,0.28000,0.84971,-0.15029,0.85234,-0.14766,0.97048,-0.02952,0.97261,-0.02739
white_noise,1.33900,0.30000,0.83573,-0.16427,0.83869,-0.16131,0.98568,-0.01432,0.99008,-0.00992
white_noise,1.34160,0.32000,0.84374,-0.15626,0.84814,-0.15186,0.99502,-0.00498,1.00099,0.00099
white_noise,1.34420,0.34000,0.81429,-0.18571,0.82144,-0.17856,0.99574,-0.00426,1.00202,0.00202
white_noise,1.34680,0.36000,0.78448,-0.21552,0.79285,-0.20715,0.99398,-0.00602,1.00133,0.00133
white_noise,1.34940,0.38000,0.77720,-0.22280,0.78832,-0.21168,0.99476,-0.00524,1.00180,0.00180
white_noise,1.35200,0.40000,0.74934,-0.25066,0.76414,-0.23586,0.98836,-0.01164,0.99537,-0.00463
white_noise,1.35460,0.42000,0.72360,-0.27640,0.74319,-0.25681,1.00221,0.00221,1.00858,0.00858
white_noise,1.35720,0.44000,0.69183,-0.30817,0.71646,-0.28354,0.98824,-0.01176,0.99333,-0.00667
white_noise,1.35980,0.46000,0.66286,-0.33714,0.70104,-0.29896,0.99587,-0.00413,0.99947,-0.00053
white_noise,1.36240,0.48000,0.62872,-0.37128,0.68267,-0.31733,0.98220,-0.01780,0.98506,-0.01494
white_noise,1.36500,0.50000,0.64521,-0.35479,0.70416,-0.29584,1.00735,0.00735,1.00717,0.00717
white_noise,1.36760,0.52000,0.68706,-0.31294,0.71891,-0.28109,1.01708,0.01708,1.01477,0.01477
white_noise,1.37020,0.54000,0.69915,-0.30085,0.72121,-0.27879,0.99790,-0.00210,0.99449,-0.00551
white_noise,1.37280,0.56000,0.72029,-0.27971,0.73938,-0.26062,1.01085,0.01085,1.00601,0.00601
white_noise,1.37540,0.58000,0.75100,-0.24900,0.76307,-0.23693,1.00020,0.00020,0.99403,-0.00597
white_noise,1.37800,0.60000,0.77915,-0.22085,0.78944,-0.21056,1.00995,0.00995,1.00247,0.00247
wind_like,1.22200,-0.60000,0.74495,-0.25505,0.76093,-0.23907,1.00138,0.00138,1.00670,0.00670
wind_like,1.22460,-0.58000,0.72153,-0.27847,0.74251,-0.25749,0.99734,-0.00266,1.00195,0.00195
wind_like,1.22720,-0.56000,0.69362,-0.30638,0.72130,-0.27870,0.99847,-0.00153,1.00261,0.00261
wind_like,1.22980,-0.54000,0.67098,-0.32902,0.70806,-0.29194,1.00027,0.00027,1.00457,0.00457
wind_like,1.23240,-0.52000,0.64520,-0.35480,0.69455,-0.30545,0.99533,-0.00467,0.99703,-0.00297
wind_like,1.23500,-0.50000,0.61981,-0.38019,0.68760,-0.31240,1.00897,0.00897,1.00873,0.00873
wind_like,1.23760,-0.48000,0.67877,-0.32123,0.71030,-0.28970,1.00341,0.00341,1.00099,0.00099
wind_like,1.24020,-0.46000,0.70141,-0.29859,0.72538,-0.27462,0.99580,-0.00420,0.99445,-0.00555
wind_like,1.24280,-0.44000,0.72769,-0.27231,0.74503,-0.25497,1.00143,0.00143,0.99699,-0.00301
wind_like,1.24540,-0.42000,0.75167,-0.24833,0.76507,-0.23493,1.00237,0.00237,0.99766,-0.00234
wind_like,1.24800,-0.40000,0.76887,-0.23113,0.77939,-0.22061,1.01355,0.01355,1.00767,0.00767
wind_like,1.25060,-0.38000,0.79214,-0.20786,0.80041,-0.19959,1.00049,0.00049,0.99473,-0.00527
wind_like,1.25320,-0.36000,0.80555,-0.19445,0.81163,-0.18837,1.00646,0.00646,1.00126,0.00126
wind_like,1.25580,-0.34000,0.82455,-0.17545,0.82935,-0.17065,0.99358,-0.00642,0.98873,-0.01127
wind_like,1.25840,-0.32000,0.84364,-0.15636,0.84763,-0.15237,1.00489,0.00489,1.00055,0.00055
wind_like,1.26100,-0.30000,0.86236,-0.13764,0.86526,-0.13474,0.99126,-0.00874,0.98823,-0.01177
wind_like,1.26360,-0.28000,0.87730,-0.12270,0.87953,-0.12047,1.00531,0.00531,1.00413,0.00413
wind_like,1.26620,-0.26000,0.89002,-0.10998,0.89181,-0.10819,1.00104,0.00104,1.00162,0.00162
wind_like,1.26880,-0.24000,0.90473,-0.09527,0.90605,-0.09395,1.00091,0.00091,1.00375,0.00375
wind_like,1.27140,-0.22000,0.91553,-0.08447,0.91642,-0.08358,0.99182,-0.00818,0.99608,-0.00392
wind_like,1.27400,-0.20000,0.92980,-0.07020,0.93044,-0.06956,0.99268,-0.00732,0.99936,-0.00064
wind_like,1.27660,-0.18000,0.93927,-0.06073,0.93974,-0.06026,0.99898,-0.00102,1.00659,0.00659
wind_like,1.27920,-0.16000,0.94583,-0.05417,0.94616,-0.05384,0.98001,-0.01999,0.98731,-0.01269
wind_like,1.28180,-0.14000,0.95809,-0.04191,0.95830,-0.04170,0.98691,-0.01309,0.99604,-0.00396
wind_like,1.28440,-0.12000,0.97067,-0.02933,0.97084,-0.02916,0.98713,-0.01287,0.99747,-0.00253
wind_like,1.28700,-0.10000,0.97587,-0.02413,0.97598,-0.02402,0.99072,-0.00928,0.99961,-0.00039
wind_like,1.28960,-0.08000,0.98406,-0.01594,0.98411,-0.01589,0.99108,-0.00892,0.99990,-0.00010
wind_like,1.29220,-0.06000,0.99017,-0.00983,0.99019,-0.00981,0.99777,-0.00223,1.00486,0.00486
wind_like,1.29480,-0.04000,0.99415,-0.00585,0.99415,-0.00585,0.99300,-0.00700,0.99810,-0.00190
wind_like,1.29740,-0.02000,0.99989,-0.00011,0.99990,-0.00010,0.99970,-0.00030,1.00228,0.00228
wind_like,1.30000,0.00000,1.00221,0.00221,1.00221,0.00221,1.00220,0.00220,1.00226,0.00226
wind_like,1.30260,0.02000,0.99870,-0.00130,0.99870,-0.00130,1.00071,0.00071,0.99821,-0.00179
wind_like,1.30520,0.04000,1.00182,0.00182,1.00182,0.00182,1.00696,0.00696,1.00191,0.00191
wind_like,1.30780,0.06000,0.99834,-0.00166,0.99834,-0.00166,1.00567,0.00567,0.99883,-0.00117
wind_like,1.31040,0.08000,0.99557,-0.00443,0.99557,-0.00443,1.01065,0.01065,1.00213,0.00213
wind_like,1.31300,0.10000,0.99122,-0.00878,0.99123,-0.00877,1.01031,0.01031,1.00082,0.00082
wind_like,1.31560,0.12000,0.98285,-0.01715,0.98286,-0.01714,1.00971,0.00971,0.99897,-0.00103
wind_like,1.31820,0.14000,0.97764,-0.02236,0.97768,-0.02232,1.01192,0.01192,1.00154,0.00154
wind_like,1.32080,0.16000,0.96621,-0.03379,0.96631,-0.03369,1.00257,0.00257,0.99399,-0.00601
wind_like,1.32340,0.18000,0.95546,-0.04454,0.95571,-0.04429,1.00393,0.00393,0.99601,-0.00399
wind_like,1.32600,0.20000,0.94046,-0.05954,0.94078,-0.05922,1.00227,0.00227,0.99557,-0.00443
wind_like,1.32860,0.22000,0.92738,-0.07262,0.92814,-0.07186,1.00496,0.00496,1.00121,0.00121
wind_like,1.33120,0.24000,0.91040,-0.08960,0.91138,-0.08862,1.01214,0.01214,1.00815,0.00815
wind_like,1.33380,0.26000,0.89310,-0.10690,0.89458,-0.10542,0.99941,-0.00059,0.99762,-0.00238
wind_like,1.33640,0.28000,0.87714,-0.12286,0.87941,-0.12059,0.99617,-0.00383,0.99791,-0.00209
wind_like,1.33900,0.30000,0.85625,-0.14375,0.85938,-0.14062,0.99967,-0.00033,1.00142,0.00142
wind_like,1.34160,0.32000,0.83494,-0.16506,0.83968,-0.16032,1.00483,0.00483,1.00900,0.00900
