short_path,file_date,category,Mooring,PanelCondition,WindCondition,WaveFrequencyInput [Hz],WaveAmplitudeInput [Volt],per_train,mstop_sec,run_num,Kt_FFT,Kt_LS,Kt_PSD,Kt_eff,override_fired,quality_flag,cut_in_any,cut_out_any,fft_ls_dis,ws_in_low,any_flag
20260312-ProbPos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0300-freq1500-per40-depth580-mstop30-run1.csv,2026-03-12,canon_above_loose,above_50,full,no,1.5,0.3,40.0,30.0,1,0.5772583289168333,0.575692504085416,0.5694894602847475,0.5772583289168333,False,ok,False,False,False,False,False
20260313-ProbePos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0300-freq1500-per240-depth580-mstop30-run1.csv,2026-03-13,canon_above_loose,above_50,full,no,1.5,0.3,240.0,30.0,1,0.574856664843374,0.5732198174982324,0.5632285225255825,0.574856664843374,False,ok,False,False,False,False,False
20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0100-freq1600-per40-depth580-mstop30-run1.csv,2026-03-07,canon_above_loose,above_50,full,full,1.6,0.1,40.0,30.0,1,0.4817981607319542,0.48343557672297005,0.5135152629248988,0.4817981607319542,False,ok,False,False,False,False,False
20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0100-freq1600-per40-depth580-mstop30-run1.csv,2026-03-07,canon_above_loose,above_50,full,no,1.6,0.1,40.0,30.0,1,0.2830289105609512,0.2822966429228425,0.29640475026379476,0.2830289105609512,False,ok,False,False,False,False,False
20260316-ProbePos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0100-freq1600-per240-depth580-mstop30-run1.csv,2026-03-16,canon_above_loose,above_50,full,no,1.6,0.1,240.0,30.0,1,0.2778428999157663,0.2776084194546925,0.26178418447384705,0.2778428999157663,False,ok,False,False,False,False,False
20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,2026-03-07,canon_above_loose,above_50,full,full,1.6,0.2,40.0,30.0,1,0.541319676475271,0.5391997100262584,0.5419569989101415,0.541319676475271,False,ok,False,False,False,False,False
20260314-ProbePos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,2026-03-14,canon_above_loose,above_50,full,full,1.6,0.2,240.0,30.0,1,0.39531005338796604,0.3981551715991172,0.39539377316554924,0.39531005338796604,False,ok,False,False,False,False,False
20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,2026-03-07,canon_above_loose,above_50,full,no,1.6,0.2,40.0,30.0,1,0.4558480816512382,0.4515245119647367,0.4402965063764218,0.4558480816512382,False,ok,False,False,False,False,False
20260313-ProbePos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,2026-03-13,canon_above_loose,above_50,full,no,1.6,0.2,240.0,30.0,1,0.4506369308412961,0.4504206905224566,0.45128515279951514,0.4506369308412961,False,ok,False,False,False,False,False
20260316-ProbePos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,2026-03-16,canon_above_loose,above_50,full,no,1.6,0.2,240.0,30.0,1,0.44952941327362,0.4480131095598299,0.46345634032012245,0.44952941327362,False,ok,False,False,False,False,False
20260312-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0300-freq1600-per40-depth580-mstop30-run1.csv,2026-03-12,canon_above_loose,above_50,full,full,1.6,0.3,40.0,30.0,1,0.6895405288297382,0.688895486719076,0.6814489827235586,0.6895405288297382,False,ok,False,False,False,False,False
20260314-ProbePos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0300-freq1600-per240-depth580-mstop30-run1.csv,2026-03-14,canon_above_loose,above_50,full,full,1.6,0.3,240.0,30.0,1,0.6200209456165643,0.6188634111816943,0.6118631415676765,0.6200209456165643,False,ok,False,False,False,False,False
20260312-ProbPos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run1.csv,2026-03-12,canon_above_loose,above_50,full,no,1.6,0.3,40.0,30.0,1,0.4845032301332474,0.48436832755555254,0.4726000543451724,0.4845032301332474,False,ok,False,False,False,False,False
20260313-ProbePos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0300-freq1600-per240-depth580-mstop30-run1.csv,2026-03-13,canon_above_loose,above_50,full,no,1.6,0.3,240.0,30.0,1,0.4765968070673502,0.479843274052454,0.4792384658243892,0.4765968070673502,False,dropout_critical,True,False,False,False,True
20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1200-per40-depth580-mstop30-run2.csv,2026-03-26,canon_loose230,below_90_loose230,full,full,1.2,0.1,40.0,30.0,2,0.8185058168293193,0.8181895408446619,0.8077100905076299,0.8185058168293193,False,ok,False,False,False,True,True
