path,WaveFrequencyInput [Hz],WaveAmplitudeInput [Volt],WindCondition,PanelCondition,Mooring,quality_flag,Probe 9373/170 hg_snap_shift,Probe 9373/340 hg_snap_shift,Probe 12400/250 hg_snap_shift,Probe 8804/250 hg_snap_shift,9373/170_shift_periods,9373/340_shift_periods,12400/250_shift_periods,8804/250_shift_periods
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,1.40000,0.10000,full,full,below_90_loose300,ok,63.00000,55.00000,-72.00000,5.00000,0.35196,0.30726,-0.40223,0.02793
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,1.50000,0.20000,no,full,below_90_loose300,ok,-68.00000,-74.00000,37.00000,63.00000,-0.40719,-0.44311,0.22156,0.37725
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per40-depth580-mstop30-run1.csv,1.50000,0.30000,full,full,below_90_loose300,ok,25.00000,23.00000,-53.00000,0.00000,0.14970,0.13772,-0.31737,0.00000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run2.csv,1.60000,0.30000,no,full,below_90_loose300,ok,69.00000,66.00000,62.00000,50.00000,0.44231,0.42308,0.39744,0.32051
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,1.40000,0.10000,full,full,below_90_loose300,ok,44.00000,41.00000,-80.00000,17.00000,0.24581,0.22905,-0.44693,0.09497
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop330-run2.csv,1.30000,0.10000,full,full,below_90_loose300,ok,13.00000,25.00000,-6.00000,-47.00000,0.06771,0.13021,-0.03125,-0.24479
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run3.csv,1.60000,0.30000,no,full,below_90_loose300,ok,68.00000,65.00000,65.00000,51.00000,0.43590,0.41667,0.41667,0.32692
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,1.30000,0.10000,full,full,below_90_loose300,ok,9.00000,14.00000,-3.00000,-48.00000,0.04688,0.07292,-0.01562,-0.25000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per40-depth580-mstop30-run1.csv,1.60000,0.30000,full,full,below_90_loose300,ok,17.00000,17.00000,14.00000,14.00000,0.10897,0.10897,0.08974,0.08974
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,1.50000,0.10000,no,full,below_90_loose300,ok,-52.00000,-54.00000,55.00000,-85.00000,-0.31138,-0.32335,0.32934,-0.50898
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,1.40000,0.20000,full,full,below_90_loose300,ok,27.00000,24.00000,76.00000,-14.00000,0.15084,0.13408,0.42458,-0.07821
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run4.csv,1.30000,0.10000,no,full,below_90_loose300,ok,57.00000,56.00000,10.00000,-17.00000,0.29688,0.29167,0.05208,-0.08854
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,1.40000,0.10000,no,full,below_90_loose300,ok,83.00000,81.00000,-56.00000,29.00000,0.46369,0.45251,-0.31285,0.16201
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per40-depth580-mstop30-run2.csv,1.60000,0.30000,full,full,below_90_loose300,ok,14.00000,22.00000,13.00000,10.00000,0.08974,0.14103,0.08333,0.06410
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per240-depth580-mstop30-run1.csv,1.60000,0.30000,full,full,below_90_loose300,ok,22.00000,21.00000,19.00000,18.00000,0.14103,0.13462,0.12179,0.11538
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1400-per40-depth580-mstop30-run2.csv,1.40000,0.30000,full,full,below_90_loose300,ok,4.00000,13.00000,44.00000,-33.00000,0.02235,0.07263,0.24581,-0.18436
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1600-per40-depth580-mstop30-run1.csv,1.60000,0.10000,no,full,below_90_loose300,ok,-13.00000,-13.00000,2.00000,-30.00000,-0.08333,-0.08333,0.01282,-0.19231
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run4.csv,1.60000,0.30000,no,full,below_90_loose300,ok,66.00000,66.00000,64.00000,52.00000,0.42308,0.42308,0.41026,0.33333
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq0900-per40-depth580-mstop30-run1.csv,0.90000,0.20000,full,full,below_90_loose300,ok,-139.00000,-130.00000,95.00000,-37.00000,-0.50000,-0.46763,0.34173,-0.13309
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1400-per40-depth580-mstop30-run1.csv,1.40000,0.30000,no,full,below_90_loose300,ok,45.00000,43.00000,75.00000,-8.00000,0.25140,0.24022,0.41899,-0.04469
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,1.30000,0.10000,no,full,below_90_loose300,ok,63.00000,63.00000,23.00000,-14.00000,0.32812,0.32812,0.11979,-0.07292
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1500-per40-depth580-mstop30-run1.csv,1.50000,0.20000,no,full,below_90_loose300,ok,-75.00000,-76.00000,32.00000,57.00000,-0.44910,-0.45509,0.19162,0.34132
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,1.50000,0.10000,full,full,below_90_loose300,ok,-85.00000,-72.00000,30.00000,49.00000,-0.50898,-0.43114,0.17964,0.29341
