_compare,group,freq,wind,amp_v,mean,std,count
panel (above_50),no,1.1,no,0.2,0.988064610716734,,1
panel (above_50),no,1.2,no,0.1,0.9753096793842102,,1
panel (above_50),no,1.2,no,0.2,0.980812867332002,,1
panel (above_50),no,1.3,full,0.1,1.0892603177734768,0.02268204166973901,2
panel (above_50),no,1.3,full,0.2,1.022763468765372,0.0037874266152492717,2
panel (above_50),no,1.3,full,0.3,0.9738120631594267,0.033631594216566384,2
panel (above_50),no,1.3,no,0.1,0.9760931971543945,0.010164610102502691,4
panel (above_50),no,1.3,no,0.2,0.9831228077938129,0.010043733195437238,3
panel (above_50),no,1.3,no,0.3,0.9736836982334216,0.005940245750469557,2
panel (above_50),no,1.4,no,0.1,0.9703111640803929,,1
panel (above_50),no,1.5,no,0.1,0.9673120799318702,,1
panel (above_50),no,1.6,no,0.1,0.9659570553016781,0.0019513136836324606,2
panel (above_50),no,1.6,no,0.2,0.9768492416015468,,1
panel (above_50),no,1.7,no,0.1,0.9813228600977265,,1
panel (above_50),no,1.8,no,0.1,0.8997891383285458,,1
panel (above_50),reverse,0.65,full,0.1,0.9445097318045612,0.008006987083195255,2
panel (above_50),reverse,0.65,full,0.2,0.9659611932257689,0.004248228836863235,2
panel (above_50),reverse,0.65,full,0.3,0.9516097580761723,0.00588292103661233,3
panel (above_50),reverse,0.65,no,0.1,0.960544983424751,0.012776707944152954,4
panel (above_50),reverse,0.65,no,0.2,0.9669154840265323,0.0031226690583303486,4
panel (above_50),reverse,0.65,no,0.3,0.9667075542369645,0.005288622656945054,4
panel (above_50),reverse,1.3,full,0.1,0.7054637555335885,0.014201806220491726,2
panel (above_50),reverse,1.3,full,0.2,0.6854129152724604,0.03366404676033493,2
panel (above_50),reverse,1.3,full,0.3,0.6844165931888768,0.007757369018110611,2
panel (above_50),reverse,1.3,no,0.1,0.6174831924993153,0.060624477872667566,7
panel (above_50),reverse,1.3,no,0.2,0.6829094038381863,0.03497115834902035,5
panel (above_50),reverse,1.3,no,0.3,0.7135909126778406,0.02793457618118459,5
