freq_hz,wind,run_type,probe,path,t_arr_s,plateau_ref_lo_s,plateau_ref_hi_s,plateau_ref_med_mm,plateau_end_strict_s,plateau_end_strict_T_past_arr,plateau_end_relax_s,plateau_end_relax_T_past_arr,n_window_T
1.4,no,per240,OUT,fullpanel-nowind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,22.199363246147122,27.913648960432837,30.77079181757569,10.677994938295935,40.4,25.480891455394026,51.9,41.580891455394024,13
1.5,full,per240,IN,fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,18.00049295173886,23.333826285072192,26.00049295173886,15.012489976488187,27.3,13.949260572391712,28.2,15.29926057239171,13
1.5,full,per240,OUT,fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,23.813732273718326,29.14706560705166,31.813732273718326,11.472605646681076,54.4,45.87940158942251,58.0,51.279401589422505,13
1.5,full,per240,IN,fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,18.00049295173886,23.333826285072192,26.00049295173886,15.317722392525162,33.5,23.249260572391712,35.3,25.949260572391708,13
1.5,full,per240,OUT,fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,23.813732273718326,29.14706560705166,31.813732273718326,10.877054044161634,36.8,19.47940158942251,40.8,25.47940158942251,13
1.5,no,per240,IN,fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,18.00049295173886,23.333826285072192,26.00049295173886,15.142054072229794,39.1,31.64926057239171,55.6,56.39926057239172,13
1.5,no,per240,OUT,fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,23.813732273718326,29.14706560705166,31.813732273718326,9.090804012953459,33.2,14.079401589422515,34.8,16.47940158942251,13
1.5,no,per40,IN,fullpanel-nowind-amp0200-freq1500-per40-depth580-mstop30-run1.csv,18.00049295173886,23.333826285072192,26.00049295173886,14.99004862167644,27.6,14.399260572391713,31.6,20.39926057239171,13
1.5,no,per40,OUT,fullpanel-nowind-amp0200-freq1500-per40-depth580-mstop30-run1.csv,23.813732273718326,29.14706560705166,31.813732273718326,8.897134706932498,40.1,24.42940158942251,40.2,24.579401589422517,13
1.5,full,per40,IN,fullpanel-fullwind-amp0200-freq1500-per40-depth580-mstop30-run1.csv,18.00049295173886,23.333826285072192,26.00049295173886,15.946575262409656,27.8,14.699260572391712,33.5,23.249260572391712,13
1.5,full,per40,OUT,fullpanel-fullwind-amp0200-freq1500-per40-depth580-mstop30-run1.csv,23.813732273718326,29.14706560705166,31.813732273718326,11.309533215437797,35.0,16.779401589422513,39.1,22.92940158942251,13
1.6,full,per240,IN,fullpanel-fullwind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,19.20781958921887,24.20781958921887,26.70781958921887,16.34465053430193,26.9,12.307488657249804,28.8,15.347488657249807,13
1.6,full,per240,OUT,fullpanel-fullwind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,25.410963715599493,30.410963715599493,32.91096371559949,11.091466985846838,33.8,13.422458055040806,56.3,49.422458055040806,13
1.6,full,per40,IN,fullpanel-fullwind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,19.20781958921887,24.20781958921887,26.70781958921887,14.75445270521136,33.5,22.867488657249808,33.7,23.187488657249812,13
1.6,full,per40,OUT,fullpanel-fullwind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,25.410963715599493,30.410963715599493,32.91096371559949,10.579221378018357,39.2,22.062458055040818,39.3,22.222458055040807,13
1.6,no,per40,IN,fullpanel-nowind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,19.20781958921887,24.20781958921887,26.70781958921887,14.690065975604186,31.9,20.307488657249806,34.4,24.307488657249806,13
1.6,no,per40,OUT,fullpanel-nowind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,25.410963715599493,30.410963715599493,32.91096371559949,6.999863775355209,36.0,16.942458055040813,40.2,23.662458055040815,13
1.6,full,per240,IN,fullpanel-fullwind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,19.20781958921887,24.20781958921887,26.70781958921887,15.585849053743127,29.4,16.307488657249802,33.8,23.3474886572498,13
1.6,full,per240,OUT,fullpanel-fullwind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,25.410963715599493,30.410963715599493,32.91096371559949,10.130436173405396,50.4,39.98245805504081,55.5,48.14245805504081,13
1.6,no,per240,IN,fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,19.20781958921887,24.20781958921887,26.70781958921887,15.030033250300125,34.3,24.147488657249802,80.0,97.26748865724981,13
1.6,no,per240,OUT,fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,25.410963715599493,30.410963715599493,32.91096371559949,7.0153913885746535,33.0,12.142458055040812,52.6,43.50245805504082,13
