path,freq_hz,amp_v,amp_tag,wind,run_category,file_date,mooring,A_IN_wall,phi_IN_wall,sigma_pre_IN_wall,A_FFT_meta_IN_wall,A_IN_far,phi_IN_far,sigma_pre_IN_far,A_FFT_meta_IN_far,A_OUT,phi_OUT,sigma_pre_OUT,A_FFT_meta_OUT,A_IN_mean,sigma_pre_IN_mean,dphi_OUT_minus_IN_wall,T_wall,T_far,T_mean
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,1.5,0.2,A2,full,standard,2026-03-27,below_90_loose300,17.32663778975776,3.0923193835562905,3.9060800676828276,17.341220258783288,13.853743188300141,-2.7679773537384866,4.737570369274458,13.68921682674162,10.962693311722493,2.9929651626839573,0.2520588172471346,10.961194071583913,15.590190489028952,4.321825218478643,-0.09935422087233325,0.6327074787817654,0.7913163368713795,0.7031789200675324
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,1.6,0.2,A2,no,standard,2026-03-27,below_90_loose300,14.563532946780787,2.9608590219606636,0.028971637220562563,14.539258648494979,14.737503206768636,3.033539805873285,0.039698409098014704,14.69510515311061,7.091763430608233,-2.973242646087296,0.023670396541932474,7.102673668460797,14.650518076774713,0.03433502315928863,0.3490836391316261,0.4869535061666366,0.4812052171327861,0.4840622968719938
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,1.5,0.1,A1,no,standard,2026-03-27,below_90_loose300,7.7157697140090535,-3.1241626439072516,0.031667692110911895,7.714753584251343,7.401012734144795,-3.119355804565429,0.0396338852475152,7.402764702892733,3.5155136628531287,3.1212823434710497,0.0223278002299041,3.508236449068222,7.558391224076924,0.03565078867921355,-0.03774031980128534,0.4556270849388136,0.47500440671236793,0.46511401151803494
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per40-depth580-mstop30-run2.csv,1.5,0.3,A3,full,standard,2026-03-27,below_90_loose300,24.570162500589205,2.9313734620105483,4.094169775476193,24.63562976836618,23.899343279448406,3.081222658688864,4.671702620850251,23.94590513867498,17.409871803708555,2.706396863548872,0.3086625869981196,17.322161911630946,24.234752890018804,4.382936198163222,-0.22497659846167606,0.7085778046152954,0.7284665356758863,0.7183845398679056
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,1.3,0.2,A2,full,standard,2026-03-27,below_90_loose300,15.308445210514698,2.7304345269057166,4.487893240818902,15.276786526595817,14.901707114539272,2.6271301950234665,4.059526884616578,14.702826169853017,12.771325099320533,-3.100270651643341,0.3504505587461679,12.771146533670445,15.105076162526984,4.27371006271774,0.452480128630528,0.8342666367286256,0.8570377206554964,0.8454988880495635
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,1.4,0.2,A2,no,standard,2026-03-27,below_90_loose300,14.992593226743809,3.0375399023305407,0.03049370936170954,14.959148062969685,15.215341595731546,3.039194302559136,0.038315895881078796,15.183648757199128,10.307609304369327,-3.0154737779092593,0.02197785834043006,10.328882852185233,15.103967411237678,0.03440480262139417,0.23017162693978577,0.6875134373673661,0.6774484318683311,0.6824438257659536
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1500-per40-depth580-mstop30-run1.csv,1.5,0.3,A3,no,standard,2026-03-27,below_90_loose300,21.573335868521934,3.0239616588389744,0.030766678696669766,21.54621396919136,21.439627541952685,2.9816940297585006,0.03528816082788956,21.440666611256862,13.10934095997103,-3.056348380897848,0.026466725967607404,13.108266580253456,21.50648170523731,0.033027419762279665,0.20287526744276363,0.6076640645593953,0.6114537640319965,0.609553024043845
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,1.4,0.2,A2,full,standard,2026-03-27,below_90_loose300,16.447267009051657,2.7972127769354533,4.174169589744999,16.412504221096814,16.56881926636799,3.005147605050646,3.658422646939581,16.565278319740575,11.860265877499154,2.9223418626042568,0.3325239015203745,11.843543386822061,16.508043137709823,3.9162961183422897,0.12512908566880343,0.7211086115992357,0.7158184108854134,0.7184537730220967
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,1.4,0.1,A1,full,standard,2026-03-27,below_90_loose300,7.74649701756922,-2.767017054011898,2.92892835266759,7.7099543169569875,8.747462806048357,-2.9977402216872315,4.508809289657624,8.731282622926582,5.284859234493613,3.033509554081063,0.39385243803504666,5.267968037936754,8.246979911808788,3.7188688211626073,-0.48265869908662573,0.6822256850428574,0.6041590975201909,0.6408235852407331
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,1.5,0.2,A2,no,standard,2026-03-27,below_90_loose300,15.174086262037163,-3.066968994288376,0.03288053113915504,15.177151987673641,14.9998647586699,3.0762667560151833,0.028320751676516025,14.987609293828491,9.170927220628087,-3.0102101583492065,0.1957330570943969,9.178640320328677,15.086975510353533,0.030600641407835534,0.05675883593916975,0.6043808544552761,0.6114006604844423,0.6078704916260042
