freq_hz,amp_v,wind,path,A_in_mm,A_out_mm,Kt
1.3,0.1,full,fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop330-run1.csv,7.42842726102628,5.7489746364130285,0.7739154513332038
1.6,0.1,no,fullpanel-nowind-amp0100-freq1600-per240-depth580-mstop30-run1.csv,7.091785250313249,2.6271903475316347,0.37045542903538853
1.3,0.2,no,fullpanel-nowind-amp0200-freq1300-per40-depth580-mstop30-run1.csv,14.750521415515257,11.84938817851856,0.8033199535614276
1.3,0.3,full,fullpanel-fullwind-amp0300-freq1300-per240-depth580-mstop30-run1.csv,21.68195057429065,18.561959056553587,0.8561018988099443
1.5,0.3,full,fullpanel-fullwind-amp0300-freq1500-per240-depth580-mstop30-run1.csv,22.29571536646308,16.588787822770126,0.7440347865098224
1.6,0.1,full,fullpanel-fullwind-amp0100-freq1600-per240-depth580-mstop30-run1.csv,8.659041572501058,5.172655773671091,0.597370474591339
1.3,0.3,no,fullpanel-nowind-amp0300-freq1300-per240-depth580-mstop30-run1.csv,21.558948605042715,17.949578178162103,0.8325813334869044
1.3,0.3,full,fullpanel-fullwind-amp0300-freq1300-per40-depth580-mstop30-run1.csv,22.24769037351096,18.459148462451694,0.8297107768287685
1.4,0.3,no,fullpanel-nowind-amp0300-freq1400-per240-depth580-mstop30-run1.csv,22.41595309305497,15.113920842603456,0.6742484149507848
1.3,0.3,full,fullpanel-fullwind-amp0300-freq1300-per40-depth580-mstop30-run2.csv,22.254076584896538,18.27391073853914,0.821148910350265
1.6,0.2,full,fullpanel-fullwind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,15.277073634275858,10.216568637949068,0.6687516786609596
1.3,0.3,no,fullpanel-nowind-amp0300-freq1300-per40-depth580-mstop30-run1.csv,21.484576641594277,17.808616318345646,0.8289023617001626
1.3,0.1,full,fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run2.csv,7.501823696988766,5.71422519205671,0.7617114748178369
1.4,0.3,full,fullpanel-fullwind-amp0300-freq1400-per240-depth580-mstop30-run1.csv,22.462480933328784,17.197213621657376,0.7655972495959229
1.3,0.1,full,fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run3.csv,7.470459349730674,5.637171542754721,0.7545950361081816
1.3,0.1,no,fullpanel-nowind-amp0100-freq1300-per40-depth580-mstop30-run1.csv,7.453919314553645,5.054517237941322,0.6781019520928362
1.3,0.1,no,fullpanel-nowind-amp0100-freq1300-per40-depth580-mstop30-run3.csv,7.459927735542717,4.925248456916676,0.6602273683497497
1.6,0.2,no,fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,14.765615315510118,7.168407896626453,0.48547979501379834
1.3,0.1,full,fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run1.csv,7.6082730146396464,5.481000012261041,0.7204000174171773
