freq,amp,wind,probe,win_len,expected_len,end_shift_samples,end_shift_T
1.3,0.2,no,9373/340,1921,1920,1,0.005208333333333333
1.3,0.2,no,12400/250,1924,1920,4,0.020833333333333332
1.3,0.2,no,8804/250,1923,1920,3,0.015625
1.4,0.1,no,9373/170,1788,1790,-2,-0.0111731843575419
1.4,0.1,no,9373/340,1786,1790,-4,-0.0223463687150838
1.4,0.1,no,12400/250,1784,1790,-6,-0.0335195530726257
1.4,0.1,no,8804/250,1784,1790,-6,-0.0335195530726257
1.5,0.2,no,9373/170,1670,1670,0,0.0
1.5,0.2,no,9373/340,1667,1670,-3,-0.017964071856287425
1.5,0.2,no,12400/250,1665,1670,-5,-0.029940119760479042
1.5,0.2,no,8804/250,1665,1670,-5,-0.029940119760479042
1.5,0.1,no,9373/170,1664,1670,-6,-0.03592814371257485
1.5,0.1,no,9373/340,1666,1670,-4,-0.023952095808383235
1.5,0.1,no,12400/250,1668,1670,-2,-0.011976047904191617
1.5,0.1,no,8804/250,1665,1670,-5,-0.029940119760479042
1.5,0.1,no,9373/170,1665,1670,-5,-0.029940119760479042
1.5,0.1,no,9373/340,1666,1670,-4,-0.023952095808383235
1.5,0.1,no,12400/250,1668,1670,-2,-0.011976047904191617
1.5,0.1,no,8804/250,1667,1670,-3,-0.017964071856287425
1.3,0.1,no,9373/170,1922,1920,2,0.010416666666666666
1.3,0.1,no,9373/340,1924,1920,4,0.020833333333333332
1.3,0.1,no,12400/250,1922,1920,2,0.010416666666666666
1.3,0.1,no,8804/250,1923,1920,3,0.015625
1.4,0.2,no,9373/170,1783,1790,-7,-0.03910614525139665
1.4,0.2,no,9373/340,1786,1790,-4,-0.0223463687150838
1.4,0.2,no,12400/250,1788,1790,-2,-0.0111731843575419
1.4,0.2,no,8804/250,1788,1790,-2,-0.0111731843575419
1.3,0.1,no,9373/170,1922,1920,2,0.010416666666666666
1.3,0.1,no,9373/340,1924,1920,4,0.020833333333333332
1.3,0.1,no,12400/250,1922,1920,2,0.010416666666666666
1.3,0.1,no,8804/250,1923,1920,3,0.015625
1.5,0.3,no,9373/170,1671,1670,1,0.005988023952095809
1.5,0.3,no,9373/340,1670,1670,0,0.0
1.5,0.3,no,12400/250,1668,1670,-2,-0.011976047904191617
1.5,0.3,no,8804/250,1666,1670,-4,-0.023952095808383235
1.7,0.2,no,9373/170,1473,1470,3,0.02040816326530612
1.7,0.2,no,9373/340,1472,1470,2,0.013605442176870748
1.7,0.2,no,12400/250,1471,1470,1,0.006802721088435374
1.7,0.2,no,8804/250,1472,1470,2,0.013605442176870748
1.3,0.3,no,9373/170,1922,1920,2,0.010416666666666666
1.3,0.3,no,9373/340,1925,1920,5,0.026041666666666668
1.3,0.3,no,12400/250,1926,1920,6,0.03125
1.3,0.3,no,8804/250,1922,1920,2,0.010416666666666666
1.4,0.3,no,9373/170,1790,1790,0,0.0
1.4,0.3,no,9373/340,1781,1790,-9,-0.05027932960893855
1.4,0.3,no,12400/250,1784,1790,-6,-0.0335195530726257
1.4,0.3,no,8804/250,1785,1790,-5,-0.027932960893854747
1.7,0.1,no,9373/170,1471,1470,1,0.006802721088435374
1.7,0.1,no,9373/340,1472,1470,2,0.013605442176870748
1.7,0.1,no,12400/250,1466,1470,-4,-0.027210884353741496
1.7,0.1,no,8804/250,1469,1470,-1,-0.006802721088435374
1.6,0.2,no,9373/170,1563,1560,3,0.019230769230769232
1.6,0.2,no,9373/340,1567,1560,7,0.04487179487179487
1.6,0.2,no,12400/250,1561,1560,1,0.00641025641025641
1.6,0.2,no,8804/250,1564,1560,4,0.02564102564102564
