path,name,freq_hz,amp_V,wind,mooring,N_in,N_out,A_in_nearest,A_in_parabolic,A_out_nearest,A_out_parabolic,f_in_peak,f_out_peak,outin_nearest,outin_parabolic,delta_outin
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1200-per40-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1200-per40-depth580-mstop30-run1.csv,1.2000,0.2000,full,below_90_loose300,4804,4797,15.2816,15.2817,13.1687,13.1687,1.1969,1.1986,0.8617,0.8617,0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1300-per40-depth580-mstop30-run2.csv,fullpanel-fullwind-amp0300-freq1300-per40-depth580-mstop30-run2.csv,1.3000,0.3000,full,below_90_loose300,4428,3283,22.6649,22.6654,18.3145,18.3145,1.2988,1.2945,0.8081,0.8080,-0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,1.6000,0.2000,full,below_90_loose300,2506,2671,17.6277,17.6278,10.1324,10.1324,1.5959,1.5913,0.5748,0.5748,-0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1300-per40-depth580-mstop30-run1.csv,fullpanel-nowind-amp0300-freq1300-per40-depth580-mstop30-run1.csv,1.3000,0.3000,no,below_90_loose300,4423,3272,21.5206,21.5207,17.5914,17.5916,1.3001,1.2992,0.8174,0.8174,0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run2.csv,fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run2.csv,1.3000,0.1000,full,below_90_loose300,4517,3272,4.5757,4.8851,5.6901,5.6901,1.2985,1.2989,1.2435,1.1648,-0.0787
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1400-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0300-freq1400-per240-depth580-mstop30-run1.csv,1.4000,0.3000,full,below_90_loose300,3763,2866,22.7245,22.7250,17.3043,17.3044,1.3955,1.3959,0.7615,0.7615,-0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run3.csv,fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run3.csv,1.3000,0.1000,full,below_90_loose300,4425,3275,7.3626,7.3638,5.7143,5.7143,1.2987,1.2978,0.7761,0.7760,-0.0001
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per40-depth580-mstop30-run1.csv,fullpanel-nowind-amp0100-freq1300-per40-depth580-mstop30-run1.csv,1.3000,0.1000,no,below_90_loose300,4419,3269,7.5779,7.5779,5.3186,5.3186,1.3011,1.3000,0.7019,0.7019,-0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per40-depth580-mstop30-run3.csv,fullpanel-nowind-amp0100-freq1300-per40-depth580-mstop30-run3.csv,1.3000,0.1000,no,below_90_loose300,4419,3270,7.3914,7.3914,5.3457,5.3458,1.3011,1.3000,0.7232,0.7232,0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,1.6000,0.2000,no,below_90_loose300,2500,2655,14.9614,14.9615,7.0607,7.0608,1.6002,1.6010,0.4719,0.4719,0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1700-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1700-per240-depth580-mstop30-run1.csv,1.7000,0.1000,full,below_90_loose300,29707,29716,9.2285,9.2288,4.3172,4.3172,1.7000,1.6995,0.4678,0.4678,-0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run1.csv,1.3000,0.1000,full,below_90_loose300,4429,3270,7.7276,7.7282,5.5506,5.5508,1.2977,1.3002,0.7183,0.7182,-0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1000-per40-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1000-per40-depth580-mstop30-run1.csv,1.0000,0.2000,full,below_90_loose300,5754,5750,14.1257,14.1258,13.4640,13.4642,0.9995,0.9998,0.9532,0.9532,0.0000
