freq_hz,amp_V,wind,probe,n,median,mean,std,p05,p95
1.6000,0.2000,full,12400/250,3,0.4487,0.1410,0.5609,-0.4109,0.4776
1.6000,0.2000,full,8804/250,3,0.4487,0.4509,0.0037,0.4487,0.4545
1.6000,0.3000,no,9373/170,3,0.4359,0.4338,0.0098,0.4244,0.4417
1.6000,0.3000,no,9373/340,3,0.4231,0.4209,0.0037,0.4173,0.4231
1.6000,0.3000,no,12400/250,3,0.4103,0.4081,0.0098,0.3987,0.4160
1.6000,0.3000,no,8804/250,3,0.3269,0.3269,0.0064,0.3212,0.3327
1.6000,0.3000,full,9373/170,5,0.1090,0.1205,0.0292,0.0923,0.1564
1.6000,0.3000,full,9373/340,5,0.1218,0.1218,0.0163,0.1038,0.1397
1.6000,0.3000,full,12400/250,5,0.0897,0.0897,0.0231,0.0628,0.1167
1.6000,0.3000,full,8804/250,5,0.0962,0.0936,0.0190,0.0692,0.1128
1.7000,0.1000,full,9373/170,1,0.4286,0.4286,,,
1.7000,0.1000,full,9373/340,1,0.3741,0.3741,,,
1.7000,0.1000,full,12400/250,1,-0.0476,-0.0476,,,
1.7000,0.1000,full,8804/250,1,-0.5034,-0.5034,,,
1.7000,0.2000,no,9373/170,1,-0.3878,-0.3878,,,
1.7000,0.2000,no,9373/340,1,-0.4014,-0.4014,,,
1.7000,0.2000,no,12400/250,1,-0.0068,-0.0068,,,
1.7000,0.2000,no,8804/250,1,-0.3605,-0.3605,,,
1.7000,0.2000,full,9373/170,1,0.2177,0.2177,,,
1.7000,0.2000,full,9373/340,1,0.2109,0.2109,,,
1.7000,0.2000,full,12400/250,1,-0.3946,-0.3946,,,
1.7000,0.2000,full,8804/250,1,0.3061,0.3061,,,
1.7000,0.3000,full,9373/170,1,-0.1633,-0.1633,,,
1.7000,0.3000,full,9373/340,1,-0.1905,-0.1905,,,
1.7000,0.3000,full,12400/250,1,0.1156,0.1156,,,
1.7000,0.3000,full,8804/250,1,-0.0612,-0.0612,,,
