freq_hz,wind,run_type,N_length_T,OUT_IN_med,OUT_IN_std,n
1.3,no,per240,7,0.8120934883613548,,1
1.3,no,per240,8,0.8079817335416555,,1
1.3,no,per240,9,0.8082122103281323,,1
1.3,no,per240,10,0.8071545320255065,,1
1.3,no,per240,11,0.8039656266160793,,1
1.3,no,per240,12,0.80030735300458,,1
1.3,no,per240,13,0.7961174403919449,,1
1.3,no,per240,14,0.7927891065408196,,1
1.3,no,per240,15,0.791061778065497,,1
1.3,no,per240,16,0.7897307720727048,,1
1.3,no,per240,17,0.7902971289283147,,1
1.3,no,per240,18,0.7896392894712053,,1
1.3,no,per240,19,0.7893646294509432,,1
1.3,no,per240,20,0.7881163972062166,,1
1.3,no,per240,21,0.7887538996719355,,1
1.3,no,per240,22,0.7889649352999146,,1
1.3,no,per240,23,0.7886971492203775,,1
1.3,no,per240,24,0.7889176904374309,,1
1.3,no,per240,25,0.7892065158217613,,1
1.3,no,per240,26,0.7885532163238306,,1
1.3,no,per240,27,0.7884025262933028,,1
1.3,no,per240,28,0.7882471348948632,,1
1.3,no,per240,29,0.7883219142354339,,1
1.3,no,per240,30,0.7882555043472751,,1
1.3,no,per40,5,0.8123207010400489,,1
1.3,no,per40,6,0.8127261820465626,,1
1.3,no,per40,7,0.8092661912803861,,1
1.3,no,per40,8,0.8124778426265172,,1
1.3,no,per40,9,0.8118921593663356,,1
1.3,no,per40,10,0.8069397390878384,,1
1.3,no,per40,11,0.8025395373532895,,1
1.3,no,per40,12,0.8016042326474748,,1
1.3,no,per40,13,0.8018093861157549,,1
1.3,no,per40,14,0.7959766365722346,,1
1.3,no,per40,15,0.7954628065520789,,1
1.3,no,per40,16,0.7918706392009497,,1
1.3,no,per40,17,0.7914414231763256,,1
1.3,no,per40,18,0.7909130601204515,,1
1.3,no,per40,19,0.7848591760356458,,1
1.3,no,per40,20,0.7868890148846773,,1
1.3,no,per40,21,0.7873379113370285,,1
1.3,no,per40,22,0.7812808518864973,,1
1.3,no,per40,23,0.7797583457645514,,1
1.3,no,per40,24,0.7818943144662521,,1
1.3,no,per40,25,0.7848379989688626,,1
1.3,no,per40,26,0.7832744464582888,,1
1.3,no,per40,27,0.7830081975250811,,1
1.3,no,per40,28,0.7817650327424971,,1
1.3,no,per40,29,0.7818471409019051,,1
1.3,no,per40,30,0.7822914571570067,,1
1.4,full,per240,5,0.7784100877834017,0.05596600473412494,2
1.4,full,per240,6,0.7807955219380802,0.053359016125070075,2
1.4,full,per240,7,0.779177133309544,0.062041304433067,2
1.4,full,per240,8,0.7798918116569671,0.06301941311263504,2
1.4,full,per240,9,0.7785549622291552,0.0640298517577075,2
1.4,full,per240,10,0.7818808508878992,0.0636089932773687,2
1.4,full,per240,11,0.782480994142157,0.06286276301784344,2
1.4,full,per240,12,0.781701576713624,0.06540138603322683,2
1.4,full,per240,13,0.7837606224519265,0.06540149572576995,2
1.4,full,per240,14,0.7834266049310954,0.062124918322698085,2
1.4,full,per240,15,0.7818425131526623,0.05993784255818071,2
1.4,full,per240,16,0.7804891064870243,0.05802944089343599,2
1.4,full,per240,17,0.7795729858194139,0.0583457371628855,2
1.4,full,per240,18,0.7795203578145602,0.05726749712130744,2
1.4,full,per240,19,0.7803055889301507,0.056096145808805495,2
1.4,full,per240,20,0.7814898700460307,0.05730669450466027,2
1.4,full,per240,21,0.7810554039434336,0.05706661447094206,2
1.4,full,per240,22,0.7794453906573391,0.057008691310542585,2
