f_hz,amp_V,probe,r_m,c_g,snap_fw_samples,snap_nw_samples,snap_fw_s,snap_nw_s,dt_s,dt_T,u_apparent_mm_s,n_fw,n_nw
1.5,0.3,9373/170,9.373,0.5207079620058161,26.5,57.5,0.106,0.23,-0.12400000000000001,-0.18600000000000003,3.587001059461759,4,2
1.5,0.3,9373/340,9.373,0.5207079620058161,27.5,53.5,0.11,0.214,-0.104,-0.156,3.0084525014840553,4,2
1.5,0.3,12400/250,12.4,0.5207079620058161,-48.25,-4.5,-0.193,-0.018,-0.17500000000000002,-0.2625,3.826527161035793,4,2
1.6,0.1,8804/250,8.804,0.4879783442604259,-53.666666666666664,-28.5,-0.21466666666666664,-0.114,-0.10066666666666664,-0.16106666666666664,2.7227436418702973,3,2
1.6,0.1,9373/170,9.373,0.4879783442604259,-51.0,-10.5,-0.204,-0.042,-0.16199999999999998,-0.2592,4.115641101427268,3,2
1.6,0.1,9373/340,9.373,0.4879783442604259,-65.66666666666667,-11.5,-0.26266666666666666,-0.046,-0.21666666666666667,-0.3466666666666667,5.50445826322577,3,2
1.6,0.1,12400/250,12.4,0.4879783442604259,-40.666666666666664,4.0,-0.16266666666666665,0.016,-0.17866666666666664,-0.28586666666666666,3.4310176170535116,3,2
1.6,0.2,8804/250,8.804,0.4879783442604259,70.33333333333333,-57.5,0.2813333333333333,-0.23,0.5113333333333333,0.8181333333333334,-13.830095187513368,3,2
1.6,0.2,9373/170,9.373,0.4879783442604259,71.33333333333333,-45.0,0.2853333333333333,-0.18,0.4653333333333333,0.7445333333333334,-11.821882669943344,3,2
1.6,0.2,9373/340,9.373,0.4879783442604259,65.33333333333333,-46.0,0.2613333333333333,-0.184,0.4453333333333333,0.7125333333333334,-11.313778830260965,3,2
1.6,0.2,12400/250,12.4,0.4879783442604259,22.0,-31.0,0.088,-0.124,0.212,0.3392,-4.071132844115735,3,2
1.6,0.3,8804/250,8.804,0.4879783442604259,14.6,51.0,0.0584,0.204,-0.14559999999999998,-0.23295999999999997,3.938061002546179,5,3
1.6,0.3,9373/170,9.373,0.4879783442604259,18.8,67.66666666666667,0.0752,0.27066666666666667,-0.19546666666666668,-0.31274666666666673,4.965868193162448,5,3
1.6,0.3,9373/340,9.373,0.4879783442604259,19.0,65.66666666666667,0.076,0.26266666666666666,-0.18666666666666665,-0.29866666666666664,4.742302503702201,5,3
1.6,0.3,12400/250,12.4,0.4879783442604259,14.0,63.666666666666664,0.056,0.25466666666666665,-0.19866666666666666,-0.3178666666666667,3.815086753290846,5,3
