path,campaign,series,panel_state,wind,freq_hz,amp_v,amp_tag,file_date,in_probes,out_probe,L_separation_m,A_IN[9373/170]_mm,A_IN[9373/340]_mm,A_IN_mean_mm,n_in_probes_used,A_OUT_mm,A_IN[9373/250]_mm
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1500-per40-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.5,0.3,A3,2026-03-27,9373/170+9373/340,12400/250,3.027,21.573335868521934,21.439627541952685,21.50648170523731,2,13.10934095997103,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.4,0.2,A2,2026-03-27,9373/170+9373/340,12400/250,3.027,16.447267009051657,16.56881926636799,16.508043137709823,2,11.860265877499154,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.4,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,7.74649701756922,8.747462806048357,8.246979911808788,2,5.284859234493613,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.5,0.2,A2,2026-03-27,9373/170+9373/340,12400/250,3.027,15.174086262037163,14.9998647586699,15.086975510353533,2,9.170927220628087,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per40-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.5,0.3,A3,2026-03-27,9373/170+9373/340,12400/250,3.027,23.2472942701464,22.717110233290974,22.98220225171869,2,16.958732812848034,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.4,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,7.967291397268062,7.986039933382159,7.976665665325111,2,5.648235438541828,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop330-run2.csv,march,march_panel,panel,full,1.3,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,7.528401520753441,7.803635330291757,7.6660184255226,2,5.990698858341156,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.3,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,7.487148921801585,7.779823699219576,7.63348631051058,2,5.7160424453224605,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.5,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,7.90862364626466,7.591849141599141,7.750236393931901,2,3.4321546955869855,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.4,0.2,A2,2026-03-27,9373/170+9373/340,12400/250,3.027,15.743318568769151,15.564567945012694,15.653943256890923,2,11.51446129470612,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run4.csv,march,march_panel,panel,no,1.3,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,7.842661638915496,7.871764927756078,7.857213283335787,2,4.84121387260015,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.4,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,7.931419698862152,8.08460618126724,8.008012940064695,2,4.214635180975198,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1400-per40-depth580-mstop30-run2.csv,march,march_panel,panel,full,1.4,0.3,A3,2026-03-27,9373/170+9373/340,12400/250,3.027,24.426803858499373,21.909575239806124,23.16818954915275,2,17.810492104302593,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1600-per40-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.6,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,7.0531978961240185,7.239509185423712,7.146353540773865,2,2.595055485619823,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1400-per40-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.4,0.3,A3,2026-03-27,9373/170+9373/340,12400/250,3.027,22.34490148869155,22.577462235607165,22.46118186214936,2,15.009394802700864,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.3,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,7.536064841816267,7.39722868953471,7.466646765675488,2,4.942407789574419,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1500-per40-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.5,0.2,A2,2026-03-27,9373/170+9373/340,12400/250,3.027,15.133081109779322,15.041746868441539,15.08741398911043,2,8.755171245332843,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.5,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,9.18464982400637,6.929621340545359,8.057135582275864,2,5.677535028403199,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1400-per40-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.4,0.3,A3,2026-03-27,9373/170+9373/340,12400/250,3.027,23.485840469687776,23.443367386939933,23.464603928313856,2,18.142028228571938,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop330-run3.csv,march,march_panel,panel,no,1.3,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,7.5726565226307505,7.443015545952266,7.5078360342915085,2,4.963599814041177,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.4,0.2,A2,2026-03-27,9373/170+9373/340,12400/250,3.027,15.211440070325425,15.434134111763532,15.322787091044479,2,10.533997012501493,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per40-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.5,0.2,A2,2026-03-27,9373/170+9373/340,12400/250,3.027,16.517644273273106,15.686807333963923,16.102225803618516,2,11.347209059268037,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1600-per40-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.6,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,8.946335811088844,7.660759542986964,8.303547677037905,2,4.877152929248235,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run2.csv,march,march_panel,panel,no,1.3,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,7.54165307842483,7.4492243659406085,7.495438722182719,2,4.963454226663583,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per40-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.3,0.2,A2,2026-03-27,9373/170+9373/340,12400/250,3.027,15.152833926918222,14.312166202266544,14.732500064592383,2,12.383754935527776,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1500-per240-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.5,0.3,A3,2026-03-27,9373/170+9373/340,12400/250,3.027,21.71011090213341,20.92222892368712,21.316169912910265,2,13.072033647283657,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per40-depth580-mstop30-run2-rettetterpå.csv,march,march_panel,panel,no,1.3,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,7.3462012680580315,7.226856212105605,7.286528740081819,2,5.175456532166221,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop330-run1.csv,march,march_panel,panel,full,1.3,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,7.2696905848444375,7.525506849912,7.397598717378219,2,5.743732804595225,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1600-per240-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.6,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,6.954993142112043,7.22935324101556,7.092173191563802,2,2.627409327972178,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1300-per40-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.3,0.2,A2,2026-03-27,9373/170+9373/340,12400/250,3.027,14.8398186574346,14.661711315942282,14.750764986688441,2,11.846885237260722,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1300-per240-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.3,0.3,A3,2026-03-27,9373/170+9373/340,12400/250,3.027,22.19448233210014,21.20532406040486,21.6999031962525,2,18.639222991724214,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per240-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.5,0.3,A3,2026-03-27,9373/170+9373/340,12400/250,3.027,22.860482138021002,22.215995995026912,22.538239066523957,2,16.631832059537135,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1600-per240-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.6,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,9.143563339524365,8.168091303197171,8.655827321360768,2,5.160437102154292,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1300-per240-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.3,0.3,A3,2026-03-27,9373/170+9373/340,12400/250,3.027,21.540233233674225,21.628555688958485,21.584394461316357,2,17.942044439188383,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1300-per40-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.3,0.3,A3,2026-03-27,9373/170+9373/340,12400/250,3.027,22.103039731807172,22.391819109842586,22.24742942082488,2,18.48404627759968,
