path,freq_r,amp_r,WindCondition,Mooring,A_in_mm,A_out_mm,OUT_IN,method,WaveFrequencyInput [Hz],WaveAmplitudeInput [Volt]
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1300-per40-depth580-mstop30-run1.csv,1.3,0.3,no,below_90_loose,21.59524282169615,16.92671932305419,0.7838170407627173,short,1.3,0.3
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run2.csv,1.3,0.1,full,below_90_loose,7.487645637751724,5.57789634009294,0.7449466240723147,short,1.3,0.1
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run3.csv,1.3,0.1,full,below_90_loose,7.657124682400093,5.595635574987691,0.7307750372472402,short,1.3,0.1
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per40-depth580-mstop30-run1.csv,1.3,0.1,no,below_90_loose,7.410775393509457,5.220144773990354,0.7043992695504289,short,1.3,0.1
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per40-depth580-mstop30-run3.csv,1.3,0.1,no,below_90_loose,7.313769346427396,5.170800576769277,0.7069953032214629,short,1.3,0.1
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run1.csv,1.3,0.1,full,below_90_loose,7.535346212296698,5.583386324614039,0.7409594950664222,short,1.3,0.1
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,1.5,0.2,full,below_90_loose,16.18577049830681,11.497277849363709,0.7103324398777578,long,1.5,0.2
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,1.3,0.2,full,below_90_loose,15.015080060794073,12.818758882867487,0.8537256432177536,long,1.3,0.2
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,1.4,0.1,full,below_90_loose,7.182986385302459,6.074139172407222,0.8456286628686759,long,1.4,0.1
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,1.3,0.1,full,below_90_loose,7.542755964040944,6.193392088956854,0.8211046623386734,long,1.3,0.1
