category,WaveFrequencyInput [Hz],WindCondition,file_date,per_train,mstop_sec,run_num,Kt_FFT,Kt_LS,Kt_PSD,Kt_eff,any_flag,cut_in_any,cut_out_any,qflag_nonok,fft_ls_dis,ws_in_low,IN wave_stability,OUT wave_stability,short_path
canon_loose300,1.5,full,2026-03-27,40.0,30.0,1,0.7027059163157248,0.7046967588975678,0.7197993478864607,0.7027059163157248,False,False,False,False,False,False,0.8569443674488428,0.8997870742881835,20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per40-depth580-mstop30-run1.csv
canon_loose300,1.5,no,2026-03-27,240.0,30.0,1,0.6085670782985625,0.6078687928452696,0.6214477024078825,0.6085670782985625,False,False,False,False,False,False,0.8781630362527943,0.8936073588881035,20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run1.csv
canon_loose300,1.5,no,2026-03-27,40.0,30.0,1,0.5801099493603972,0.5802997243506907,0.581023168490846,0.5801099493603972,False,False,False,False,False,False,0.8832385826058056,0.8923349523223542,20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1500-per40-depth580-mstop30-run1.csv
nov_above_stiff,1.3,full,2025-11-12,40.0,30.0,1,0.7092169910188743,0.7067910256198007,0.731877650617842,0.7092169910188743,False,False,False,False,False,False,0.8553491659431983,0.8950400792094844,20251112-tett6roof/reversepanel-fullwind-amp0200-freq1300-per40-depth580-mstop30-run1.csv
nov_above_stiff,1.3,full,2025-11-13,40.0,30.0,1,0.6616088395260465,0.6590916604569862,0.664724638389626,0.6616088395260465,False,False,False,False,False,False,0.8568817555788392,0.8866521858475773,20251113-tett6roof-loosepaneltaped/reversepanel-fullwind-amp0200-freq1300-per40-depth580-mstop30-run1.csv
nov_above_stiff,1.3,no,2025-11-12,40.0,30.0,1,0.6928791074152117,0.6927705428643195,0.7011206368376776,0.6928791074152117,False,False,False,False,False,False,0.8861826334248984,0.8935846398995542,20251112-tett6roof/reversepanel-nowind-amp0200-freq1300-per40-depth580-mstop30-run1.csv
nov_above_stiff,1.3,no,2025-11-13,40.0,30.0,1,0.6270131371162254,0.6260072824384132,0.6135004654026476,0.6270131371162254,False,False,False,False,False,False,0.8887228537907733,0.8906430759303419,20251113-tett6roof/reversepanel-nowind-amp0200-freq1300-per40-depth580-mstop30-run1.csv
nov_above_stiff,1.3,no,2025-11-13,40.0,30.0,1,0.722382863402526,0.7201749933053327,0.7246692205768982,0.722382863402526,False,False,False,False,False,False,0.8924770979985089,0.9025622937122287,20251113-tett6roof-loosepaneltaped/reversepanel-nowind-amp0200-freq1300-per40-depth580-mstop30-run1.csv
nov_above_stiff,1.3,no,2025-11-13,40.0,30.0,2,0.6794589518343351,0.678666524082776,0.6820300427223038,0.6794589518343351,False,False,False,False,False,False,0.8864996643644326,0.8992320432088953,20251113-tett6roof-probeadjusted/reversepanel-nowind-amp0200-freq1300-per40-depth580-mstop30-run2.csv
nov_above_stiff,1.3,no,2025-11-13,40.0,30.0,1,0.6928129594226335,0.6924054251697824,0.6925735681735171,0.6928129594226335,False,False,False,False,False,False,0.8843447475137174,0.89149366744927,20251113-tett6roof-probeadjusted/reversepanel-nowind-amp0200-freq1300-per40-depth580-mstop30-run1.csv
