path,WaveFrequencyInput [Hz],WaveAmplitudeInput [Volt],Mooring,A_in_fw,A_out_fw,A_wind2_in,A_wind2_out,A_in_corr,A_out_corr,OUT_IN_raw,OUT_IN_corr
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1600-per40-depth580-mstop30-run1.csv,1.6,0.1,below_90_loose,8.654213222104566,4.812327103259044,0.02993575859603187,0.003764618159846774,8.652483500998628,4.811935944149894,0.5560675453393512,0.556133501276775
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per40-depth580-mstop30-run1.csv,1.3,0.2,below_90_loose,15.620904386718616,11.966253362248189,0.044425425967366816,0.0035874695590854206,15.619482335629357,11.966103461860799,0.766041009278712,0.7661011552582064
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop330-run1.csv,1.3,0.1,below_90_loose,7.805699069113986,5.893947818493482,0.010573075174163416,0.002700760859512372,7.805021773345208,5.893718700978573,0.7550826346630469,0.7551188032692115
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1300-per240-depth580-mstop30-run1.csv,1.3,0.3,below_90_loose,22.165804042459783,18.606146669074363,0.04849981169029472,0.025533738418473076,22.1647099921708,18.605460492357842,0.839407703570477,0.8394181786691464
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per240-depth580-mstop30-run1.csv,1.5,0.3,below_90_loose,23.592930484194078,17.02706130205106,0.06083446322429646,0.04421646794280248,23.591641197017005,17.02576283506445,0.7217018383306908,0.72168624017634
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1600-per240-depth580-mstop30-run1.csv,1.6,0.1,below_90_loose,9.07661440316341,5.125458532167415,0.02993575859603187,0.003764618159846774,9.074965193603633,5.125091272046568,0.5646883633594785,0.5647505155897369
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1300-per40-depth580-mstop30-run1.csv,1.3,0.3,below_90_loose,21.646331524693778,18.24543674902933,0.04849981169029472,0.025533738418473076,21.645211217848196,18.24473700617281,0.8428881692131176,0.8428994673486288
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1300-per40-depth580-mstop30-run2.csv,1.3,0.3,below_90_loose,22.903810173505125,17.955167405994672,0.04849981169029472,0.025533738418473076,22.90275137734038,17.954456350412702,0.7839380116224073,0.7839432064121588
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,1.6,0.2,below_90_loose,17.7575437850317,10.215942207851615,0.020768858928026948,0.007524545418663479,17.756958985659395,10.21557392654693,0.5753015355909132,0.5752997421910518
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run2.csv,1.3,0.1,below_90_loose,7.409487297086453,5.57789634009294,0.010573075174163416,0.002700760859512372,7.408773780492379,5.577654239907912,0.7528046295843266,0.7528444524239782
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1400-per240-depth580-mstop30-run1.csv,1.4,0.3,below_90_loose,23.010628494426108,17.335580240740807,0.012288120478655117,0.007597543351631539,23.010361483210474,17.3353611078573,0.7533727401205067,0.7533719589979522
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run3.csv,1.3,0.1,below_90_loose,7.058932243776473,5.595635574987691,0.010573075174163416,0.002700760859512372,7.058183289420373,5.5953942423397045,0.7927028312137573,0.7927527542004659
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run1.csv,1.3,0.1,below_90_loose,7.454231102679607,5.583386324614039,0.010573075174163416,0.002700760859512372,7.453521869356919,5.5831444624895346,0.7490224340652589,0.7490612572618964
